rid,cid,ab,clade,sequence
>AY661155,>AY661066,40,3C.3a,
>AY661155,>AY661183,960,3C.3a,
>AY661155,>AF008828,240,3C.3a,
>AY661155,>AY661098,10,3C.3a,
>AY661155,>AY661192,106,3C.3a,
>AY661155,>AF008725,12,3C.3a,
>AY661155,>AY661020,40,3C.3a,
>AY661155,>AY661054,10,3C.3a,
>AY661155,>AY661067,80,3C.3a,
>AY661155,>AY661159,847,3C.3a,
>AY661155,>AY661073,40,3C.3a,
>AY661045,>AY661045,2560,3C.3a,
>AY661045,>CY114429,10,3C.3a,
>AY661045,>AY661041,160,3C.3a,
>AY661045,>AY661042,640,3C.3a,
>AY661045,>CY121157,320,3C.3a,
>AY661045,>AF201874,10,3C.3a,
>AY661045,>AY661098,10,3C.3a,
>AY661045,>AY661151,10,3C.3a,
>AY661045,>AY661181,10,3C.3a,
>AY661045,>AY661047,320,3C.3a,
>AY661045,>AY661025,80,3C.3a,
>AY661045,>AY661048,320,3C.3a,
>AY661045,>AY661049,139,3C.3a,
>AY661045,>AY661054,10,3C.3a,
>AY661045,>AF092062,320,3C.3a,
>AY661045,>U08858,160,3C.3a,
>AY661045,>AY661046,10,3C.3a,
>AY661045,>AY661052,160,3C.3a,
>AY661045,>AY661073,10,3C.3a,
>AY661045,>AY661050,160,3C.3a,
>AY661115,>AY661066,1280,3C.3a,
>AY661115,>AY661053,1280,3C.3a,
>AY661115,>AY661183,40,3C.3a,
>AY661115,>AY661180,20,3C.3a,
>AY661115,>AY661192,20,3C.3a,
>AY661115,>AY661054,1280,3C.3a,
>AY661115,>AY661067,5120,3C.3a,
>AY661115,>AY661159,60,3C.3a,
>AY661115,>AY661073,2560,3C.3a,
>AY661115,>AY661050,320,3C.3a,
>AY661071,>AY661053,1280,3C.3a,
>AY661071,>AY661049,160,3C.3a,
>AY661071,>AY661054,2560,3C.3a,
>AY661071,>AY661067,10240,3C.3a,
>AY661071,>AF008888,2560,3C.3a,
>AY661071,>AY661050,1280,3C.3a,
>CY113373,>AY661053,5120,3C.3a,
>CY113373,>AY661049,320,3C.3a,
>CY113373,>AY661054,10240,3C.3a,
>CY113373,>AY661067,10240,3C.3a,
>CY113373,>AF008888,1280,3C.3a,
>CY113373,>AY661050,5120,3C.3a,
>AF180643,>AF180643,4434,,
>AF180643,>AY661197,80,,
>AF180643,>AF008828,10,,
>AF180643,>AF201874,10,,
>AF180643,>AY661180,10,,
>AF180643,>AY661192,100,,
>AF180643,>AY661181,40,,
>AF180643,>AY661020,38,,
>AF180643,>AY661209,196,,
>AF180643,>AF092062,10,,
>CY114429,>CY114429,640,3C.3a,
>CY114429,>AY661066,10,3C.3a,
>CY114429,>CY121157,10,3C.3a,
>CY114429,>AF008665,10,3C.3a,
>CY114429,>CY112289,10,3C.3a,
>CY114429,>AY661180,10,3C.3a,
>CY114429,>AF008903,226,3C.3a,
>CY114429,>AY661048,1280,3C.3a,
>CY114429,>AY661049,640,3C.3a,
>CY114429,>CY113333,320,3C.3a,
>CY114429,>AY661054,320,3C.3a,
>CY114429,>AF092062,10,3C.3a,
>CY114429,>U08858,905,3C.3a,
>CY114429,>AY661050,1055,3C.3a,
>AY661130,>AF180643,10,3C.3a,
>AY661130,>CY114429,10,3C.3a,
>AY661130,>AY661066,79,3C.3a,
>AY661130,>CY121157,10,3C.3a,
>AY661130,>AF008828,96,3C.3a,
>AY661130,>AF008665,40,3C.3a,
>AY661130,>AF201874,10,3C.3a,
>AY661130,>CY112289,10,3C.3a,
>AY661130,>AY661180,97,3C.3a,
>AY661130,>AF008903,10,3C.3a,
>AY661130,>AY661098,55,3C.3a,
>AY661130,>AY661192,23,3C.3a,
>AY661130,>AY661151,40,3C.3a,
>AY661130,>AF008725,15,3C.3a,
>AY661130,>AY661181,73,3C.3a,
>AY661130,>AY661020,10,3C.3a,
>AY661130,>AY661054,80,3C.3a,
>AY661130,>AY661067,160,3C.3a,
>AY661130,>AF092062,10,3C.3a,
>AY661130,>AY661159,320,3C.3a,
>AY661130,>AY661198,15,3C.3a,
>AY661130,>AY661073,40,3C.3a,
>D43786,>AY661066,2334,3C.3a,
>D43786,>AY661053,480,3C.3a,
>D43786,>AY661183,80,3C.3a,
>D43786,>AY661180,60,3C.3a,
